"Bronzezeit","[-2000, -2000, -0800, -0800],['http://chronontology.dainst.org/period/x4gLctYvw0iM']"
"Bronzezeit","[-2100, -2100, -0800, -0800],['http://chronontology.dainst.org/period/Acm7bHgHs2FO']"
"Bronzezeit","[-2100, -2100, -0800, -0800],['http://chronontology.dainst.org/period/vEDZnRtKwHtp']"
"Bronzezeit","[-2150, -2150, -0800, -0800],['http://chronontology.dainst.org/period/XTx3mjR1hVhN']"
"Bronzezeit","[-2200, -2200, -0750, -0750],['http://chronontology.dainst.org/period/1408iEMbf2sr']"
"Bronzezeit","[-2200, -2200, -0750, -0750],['http://chronontology.dainst.org/period/Nr92fWBlHdds']"
"Bronzezeit","[-2200, -2200, -0750, -0750],['http://chronontology.dainst.org/period/pWTRfQzFdKi9']"
"Bronzezeit","[-2200, -2200, -0750, -0750],['http://chronontology.dainst.org/period/XcB1VNEzodDA']"
"Bronzezeit","[-2200, -2200, -0800, -0800],['http://chronontology.dainst.org/period/FqAR5QqHEodM']"
"Bronzezeit","[-2200, -2200, -0800, -0800],['http://chronontology.dainst.org/period/PhmqVGTUUN4j']"
"Bronzezeit","[-2200, -2200, -0800, -0800],['http://chronontology.dainst.org/period/vyTt51NzI1tg']"
"Bronzezeit","[-2200, -2200, -0800, -0800],['http://chronontology.dainst.org/period/zYAfKG52TIAW']"
"Bronzezeit","[-2200, -2200, -0801, -0801],['http://chronontology.dainst.org/period/DVkSnwxiIH5w']"
"Bronzezeit","[-2200, -2200, -0801, -0801],['http://chronontology.dainst.org/period/km5BCqSvK9lw']"
"Bronzezeit","[-2500, -2500, -0750, -0750],['http://chronontology.dainst.org/period/rYh7ggsMyaSj']"
"Burdigal","[-20440000, -20440000, -15970000, -15970000],['http://chronontology.dainst.org/period/wuNrLg7ZJ4Kq']"
"Burdigalium","[-20440000, -20440000, -15970000, -15970000],['http://chronontology.dainst.org/period/wuNrLg7ZJ4Kq']"
"Byzantinische Reich","[+0330, +0330, +1453, +1453],['http://chronontology.dainst.org/period/4wFHcT5PThz2']"
"Byzanz","[+0330, +0330, +1453, +1453],['http://chronontology.dainst.org/period/4wFHcT5PThz2']"
"BZ","[-1700, -1700, -0550, -0550],['http://chronontology.dainst.org/period/AoSJ9arScQbv']"
"BZ","[-1900, -1900, -0750, -0750],['http://chronontology.dainst.org/period/rNwD0cW5qQm4']"
"BZ","[-2000, -2000, -0550, -0550],['http://chronontology.dainst.org/period/L1uowBkadSSy']"
"BZ","[-2000, -2000, -0550, -0550],['http://chronontology.dainst.org/period/Xtd5hKKkUagc']"
"BZ","[-2000, -2000, -0800, -0800],['http://chronontology.dainst.org/period/x4gLctYvw0iM']"
"BZ","[-2100, -2100, -0800, -0800],['http://chronontology.dainst.org/period/Acm7bHgHs2FO']"
"BZ","[-2100, -2100, -0800, -0800],['http://chronontology.dainst.org/period/vEDZnRtKwHtp']"
"BZ","[-2150, -2150, -0800, -0800],['http://chronontology.dainst.org/period/XTx3mjR1hVhN']"
"BZ","[-2200, -2200, -0750, -0750],['http://chronontology.dainst.org/period/1408iEMbf2sr']"
"BZ","[-2200, -2200, -0750, -0750],['http://chronontology.dainst.org/period/Nr92fWBlHdds']"
"BZ","[-2200, -2200, -0750, -0750],['http://chronontology.dainst.org/period/pWTRfQzFdKi9']"
"BZ","[-2200, -2200, -0750, -0750],['http://chronontology.dainst.org/period/XcB1VNEzodDA']"
"BZ","[-2200, -2200, -0800, -0800],['http://chronontology.dainst.org/period/FqAR5QqHEodM']"
"BZ","[-2200, -2200, -0800, -0800],['http://chronontology.dainst.org/period/PhmqVGTUUN4j']"
"BZ","[-2200, -2200, -0800, -0800],['http://chronontology.dainst.org/period/vyTt51NzI1tg']"
"BZ","[-2200, -2200, -0800, -0800],['http://chronontology.dainst.org/period/zYAfKG52TIAW']"
"Caesarisch","[-0049, -0049, -0044, -0044],['http://chronontology.dainst.org/period/BxBiM0H6uzRA']"
"Calabrium","[-1806000, -1806000, -781000, -781000],['http://chronontology.dainst.org/period/BK4TjCxqSeAW']"
"Callov","[-166100000, -166100000, -163500000, -163500000],['http://chronontology.dainst.org/period/FtX9nSSiGtip']"
"Callovien","[-166100000, -166100000, -163500000, -163500000],['http://chronontology.dainst.org/period/FtX9nSSiGtip']"
